STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/8/1981,59.5,4,10010,,999.9,,75.2, ,62.6, ,8.9,,0.71,G,9999.9,0,999.9,,874.8,4,71.2,4,13.2,4,3.4,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/9/1981,63.1,4,0,,999.9,,77,*,64.4, ,4.9,,0.28,G,9999.9,0,999.9,,875.4,4,70.3,4,17.1,4,3.2,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/10/1981,62.2,4,0,,999.9,,80.6, ,62.6, ,3.9,,0.51,G,9999.9,0,999.9,,874.3,4,74.8,4,16.3,4,2.4,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/15/1981,61.2,5,10,,999.9,,86, ,60.8, ,11.8,,0,G,9999.9,0,999.9,,875.3,5,77,5,18,5,5.1,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/16/1981,9999.9,0,0,,999.9,,87.8, ,60.8,*,5.8,,0,I,9999.9,0,999.9,,874.8,4,77.4,4,18.6,4,2.4,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/18/1981,62.6,4,10,,999.9,,84.2, ,62.6,*,8,,0,I,9999.9,0,999.9,,872.9,4,73,4,16.3,4,4.4,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/19/1981,64,5,10010,,999.9,,80.6, ,64.4, ,10.9,,99.99, ,9999.9,0,999.9,,876.9,5,70.5,5,16.8,5,4.9,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/21/1981,64.4,4,10010,,999.9,,82.4, ,62.6, ,8,,0.2,G,9999.9,0,999.9,,999.9,0,72.9,4,14.8,4,3.7,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/22/1981,64,5,10010,,999.9,,82.4, ,64.4, ,7,,0.01,G,9999.9,0,999.9,,872.5,5,73.8,5,16.8,5,4,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/24/1981,64.8,5,100010,,999.9,,86, ,64.4, ,2.9,,0,G,9999.9,0,999.9,,872.3,5,76.6,5,14,5,1.6,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/25/1981,65,6,10010,,999.9,,82.4, ,64.4, ,9.9,,0,G,9999.9,0,999.9,,872.9,6,69.8,6,12.2,6,3.3,6
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/28/1981,9999.9,0,0,,999.9,,66.2,*,62.6,*,3.9,,0,I,9999.9,0,999.9,,872.7,4,64.4,4,17.1,4,1.2,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,3/30/1981,62.2,5,0,,999.9,,78.8,*,62.6,*,9.9,,0,I,9999.9,0,999.9,,874.2,4,71.2,5,14.3,5,5,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,4/2/1981,57.7,4,0,,999.9,,78.8,*,57.2, ,3.9,,0,G,9999.9,0,999.9,,875.2,4,72.1,4,17.1,4,2.4,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,4/3/1981,50,5,0,,999.9,,80.6, ,53.6, ,8,,0,G,9999.9,0,999.9,,875.7,5,67.6,5,17.4,5,3.7,5
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,4/4/1981,47.8,4,0,,999.9,,80.6, ,50,*,9.9,,0,I,9999.9,0,999.9,,875.4,4,71.2,4,18.6,4,5.7,4
67561099999,"NDOLA SIMON MWANSA KAWEPEWE INTERNATIONAL, ZA",-12.9833333,28.65,1270.1,4/6/1981,50.5,4,0,,999.9,,82.4, ,50, ,4.9,,0,G,9999.9,0,999.9,,999.9,0,72.9,4,17.9,4,1.7,4
